job_title,company,location,description,skills,job_url,source_url
"Research Engineer/Scientist Human Alignment, Consumer Devices",OpenAI,,"About the Team The Future of Computing Research team is an applied research team within the Consumer Devices group focused on developing new methods, models, and evaluation frameworks that support our vision for the future of computing. We work at the frontier of multimodal AI, helping turn emerging model capabilities into product experiences that are useful, delightful, and worthy of long-term trust. Our work explores a new class of AI systems that can learn over time, adapt to individuals, and",Ai,https://jobs.ashbyhq.com/openai/09253a0e-a2b8-49d1-80bb-6955ba3b08a3,https://jobs.ashbyhq.com/openai
"Machine Learning Data Scientist, Forecasting",OpenAI,,"ABOUT THE TEAM The Strategic Finance team at OpenAI plays a critical role in shaping the company’s long-term trajectory. We partner closely with Product, Engineering, and Go-To-Market teams to inform high-stakes decisions through rigorous data science and economic modeling. As part of our expanding Data Science function, we’re building a best-in-class Forecasting capability to drive real-time, data-driven decision-making across user growth, revenue, compute infrastructure, and more. We are devel","Ai, Api, Go",https://jobs.ashbyhq.com/openai/0b57e309-426d-4f5c-a28c-6dd941b84703,https://jobs.ashbyhq.com/openai
Accounts Receivable Analyst,Stripe,,Help increase the GDP of the internet as part of our Controllership team.,,https://stripe.com/jobs/listing/accounts-receivable-analyst/7369428,https://stripe.com/jobs/search
Research Engineer / Research Scientist Foundations Retrieval IC,OpenAI,,"About the Team The Foundations Research team works on high-risk, high-reward ideas that could shape the next decade of AI. Our goal is to advance the science and data that enable our training and scaling efforts, with a particular focus on future frontier models. Pushing the boundaries of data, scaling laws, optimization techniques, model architectures, and efficiency improvements to propel our science. About the Role We’re looking for a researcher focused on our embedding retrieval efforts. You","Ai, Aws, Go",https://jobs.ashbyhq.com/openai/020b2aae-8be0-408c-ab49-20eefa8541af,https://jobs.ashbyhq.com/openai
"Account Executive, Enterprise (Hunter), Japan",Stripe,,Help increase the GDP of the internet as part of our Sales team.,,https://stripe.com/jobs/listing/account-executive-enterprise-hunter-japan/7528816,https://stripe.com/jobs/search
AI Deployment EngineerChatGPT Ecosystem,OpenAI,,"About the team The Technical Success team is responsible for ensuring the safe and effective deployment of ChatGPT and OpenAI API applications for developers and enterprises. We act as a trusted advisor and thought partner for our customers, ensuring developers and enterprises maximize value from our models and products. The AI Deployment Engineering team, part of Technical Success, is focused on enabling high-impact and strategic customers and partners. They collaborate closely to resolve techn","Ai, Api",https://jobs.ashbyhq.com/openai/387e28ec-a4db-42da-9448-b6dbb7b13901,https://jobs.ashbyhq.com/openai
Content Integrity Analyst,OpenAI,,"About the Team Trust & Safety Operations is central to protecting OpenAI’s platform, customers, and the public from abuse. We support a diverse customer base -from individual users and early-stage startups to global enterprises -across ChatGPT, our API, and new product surfaces as they launch. Within the Support organization, we partner closely with Product, Engineering, Legal, Policy, Go To Market, and Operations teams to deliver a great user experience at scale while reducing material harm and","Ai, Api, Go",https://jobs.ashbyhq.com/openai/77b85828-3d4f-4958-b5cf-4787ca04975a,https://jobs.ashbyhq.com/openai
"Backend / API Engineer, Privacy Products",Stripe,,Help increase the GDP of the internet as part of our Security team.,,https://stripe.com/jobs/listing/backend-api-engineer-privacy-products/7579264,https://stripe.com/jobs/search
Forward Deployed Software Engineer Seattle,OpenAI,,"About the team OpenAI’s Forward Deployed Engineering team partners with customers to turn research breakthroughs into production systems. We operate at the intersection of customer delivery and core platform development. About the Role We are looking for customer-focused software engineers to build effective custom software that leverages OpenAI’s APIs to solve real customer problems. As an FDSWE, you will work with our customers and OpenAI Forward Deployed Engineers to design and implement scal","Ai, Api",https://jobs.ashbyhq.com/openai/7b90b83c-ec28-4e65-a235-6675e37b91c3,https://jobs.ashbyhq.com/openai
Account Executive Enterprise Germany,Stripe,,Help increase the GDP of the internet as part of our Sales team.,,https://stripe.com/jobs/listing/account-executive-enterprise-germany/7539429,https://stripe.com/jobs/search
